transaction_id,timestamp,amount_gbp,hour_of_day,days_since_last_txn,velocity_1hr,merchant_category,location_match,card_present,account_age_months,prev_fraud_flag,distance_from_home_km,device_match,ip_country_match,is_fraud
TXN0000031,2024-01-01 03:08:47,765.81,13,25,1,travel,domestic,1,111,0,176.9,1,1,0
TXN0000032,2024-01-01 03:11:14,79.01,14,2,1,online_retail,international,1,95,0,161.6,0,1,0
TXN0000033,2024-01-01 03:22:10,295.49,10,30,4,online_retail,home_city,1,61,0,18.9,1,1,0
TXN0000034,2024-01-01 03:32:25,129.03,13,20,1,crypto_exchange,online_only,1,39,0,130.8,1,1,0
TXN0000035,2024-01-01 03:41:04,31.01,8,16,1,online_retail,home_city,1,50,0,34.2,1,1,0
TXN0000036,2024-01-01 03:41:12,72.67,12,15,1,restaurant,home_city,1,8,0,119.5,0,1,0
TXN0000037,2024-01-01 03:41:59,98.8,8,3,3,luxury_goods,home_city,1,31,0,25.2,1,1,0
TXN0000038,2024-01-01 03:45:21,61.77,10,23,1,atm_withdrawal,home_city,1,40,0,107.4,1,1,0
TXN0000039,2024-01-01 04:04:16,328.28,3,0,1,atm_withdrawal,home_city,1,72,0,57.5,1,1,0
TXN0000040,2024-01-01 04:06:41,43.85,23,25,1,luxury_goods,online_only,0,48,0,122.4,1,1,0
TXN0000041,2024-01-01 04:07:02,104.41,19,17,3,luxury_goods,home_city,1,24,0,193.7,1,1,0
TXN0000042,2024-01-01 04:14:14,52.74,0,9,2,restaurant,home_city,1,102,0,178.7,0,1,0
TXN0000043,2024-01-01 04:20:56,225.51,14,30,3,restaurant,home_city,1,85,0,71.0,1,1,0
TXN0000044,2024-01-01 04:27:46,37.25,14,21,1,online_retail,international,1,86,0,94.0,1,1,0
TXN0000045,2024-01-01 05:13:27,34.94,4,18,1,online_retail,home_city,1,88,0,177.1,1,1,0
TXN0000046,2024-01-01 05:20:55,94.28,15,6,2,luxury_goods,domestic,1,120,0,89.2,1,1,0
TXN0000047,2024-01-01 05:35:45,101.45,17,8,1,restaurant,domestic,1,16,0,24.4,1,1,0
TXN0000048,2024-01-01 05:35:59,144.57,17,3,1,grocery,home_city,1,19,0,188.9,1,1,0
TXN0000049,2024-01-01 05:36:20,34.0,14,24,4,entertainment,home_city,1,46,0,170.4,1,1,0
TXN0000050,2024-01-01 05:38:08,28.52,18,16,1,grocery,home_city,1,45,0,78.7,1,1,0
TXN0000051,2024-01-01 05:43:09,391.62,16,22,1,grocery,home_city,1,36,0,46.2,1,1,0
TXN0000052,2024-01-01 05:44:46,158.84,16,26,1,online_retail,domestic,1,106,0,164.3,1,1,0
TXN0000053,2024-01-01 05:49:34,12.4,15,28,2,online_retail,online_only,1,100,0,128.3,1,1,0
TXN0000054,2024-01-01 05:58:43,17.8,13,28,3,restaurant,international,1,75,0,168.8,1,1,0
TXN0000055,2024-01-01 06:06:15,23.14,12,29,4,travel,domestic,1,79,0,41.6,1,1,0
TXN0000056,2024-01-01 06:06:25,213.37,9,25,4,entertainment,home_city,1,21,0,96.0,1,1,0
TXN0000057,2024-01-01 06:08:38,67.24,18,12,3,restaurant,home_city,0,56,0,70.5,1,1,0
TXN0000058,2024-01-01 06:10:02,22.78,7,7,1,entertainment,domestic,1,32,0,20.3,1,1,0
TXN0000059,2024-01-01 06:11:25,97.87,19,19,2,travel,home_city,0,13,0,16.4,1,1,0
TXN0000060,2024-01-01 06:24:51,260.16,10,22,1,travel,home_city,0,12,0,40.4,1,1,0
TXN0000061,2024-01-01 06:31:04,178.65,15,22,1,online_retail,home_city,0,71,0,77.4,1,1,0
TXN0000062,2024-01-01 06:31:22,132.75,9,12,2,grocery,domestic,1,101,1,123.1,1,1,0
TXN0000063,2024-01-01 07:10:08,8.82,3,29,1,online_retail,home_city,1,41,0,7.9,0,1,0
TXN0000064,2024-01-01 07:21:58,36.14,13,26,1,online_retail,home_city,1,47,0,119.9,0,0,0
TXN0000065,2024-01-01 07:24:02,117.09,16,4,3,restaurant,home_city,1,110,0,21.3,1,1,0
TXN0000066,2024-01-01 07:37:53,17.27,7,29,2,online_retail,home_city,1,75,0,76.6,1,1,0
TXN0000067,2024-01-01 07:42:10,237.31,10,11,1,grocery,home_city,1,114,0,23.9,1,1,0
TXN0000068,2024-01-01 07:52:16,36.75,11,22,1,atm_withdrawal,home_city,1,65,0,102.7,1,0,0
TXN0000069,2024-01-01 08:04:02,47.43,8,13,4,atm_withdrawal,online_only,1,119,0,141.9,1,1,0
TXN0000070,2024-01-01 08:15:10,695.81,21,2,16,luxury_goods,international,0,2,1,3298.1,0,0,1
TXN0000071,2024-01-01 08:17:26,24.39,13,10,1,travel,home_city,1,61,0,33.3,1,0,0
TXN0000072,2024-01-01 08:18:14,47.12,21,17,1,grocery,domestic,0,23,0,193.7,1,0,0
TXN0000073,2024-01-01 08:20:26,10.44,9,3,2,luxury_goods,home_city,1,111,0,4.9,0,1,0
TXN0000074,2024-01-01 08:29:29,171.63,4,3,1,grocery,home_city,0,117,0,26.3,1,1,0
TXN0000075,2024-01-01 08:33:30,1810.2,12,13,4,online_retail,home_city,1,93,0,164.6,0,1,0
TXN0000076,2024-01-01 08:36:24,10.93,14,14,3,grocery,international,1,102,0,46.0,0,0,0
TXN0000077,2024-01-01 08:51:23,4.94,13,25,4,online_retail,home_city,1,37,0,172.5,1,1,0
TXN0000078,2024-01-01 09:13:13,135.93,11,30,1,online_retail,online_only,1,103,0,170.1,1,1,0
TXN0000079,2024-01-01 09:14:27,24.77,10,17,1,grocery,home_city,1,34,0,77.8,1,0,0
TXN0000080,2024-01-01 09:16:51,46.75,9,28,1,grocery,online_only,0,81,0,102.2,1,1,0
TXN0000081,2024-01-01 09:20:28,238.83,9,0,1,grocery,international,1,10,0,46.2,1,1,0
TXN0000082,2024-01-01 09:23:50,32.97,20,11,1,travel,domestic,1,117,0,11.1,1,1,0
TXN0000083,2024-01-01 09:26:20,32.49,3,15,2,atm_withdrawal,international,1,46,0,147.9,1,1,0
TXN0000084,2024-01-01 09:33:52,7.16,6,8,2,atm_withdrawal,online_only,1,84,0,148.8,1,1,0
TXN0000085,2024-01-01 09:35:50,333.38,3,19,1,grocery,home_city,1,33,0,65.9,1,1,0
TXN0000086,2024-01-01 09:40:25,44.75,16,23,5,restaurant,home_city,0,103,0,117.5,1,1,0
TXN0000087,2024-01-01 09:44:42,18.32,13,11,1,restaurant,home_city,1,48,0,113.4,1,1,0
TXN0000088,2024-01-01 09:56:30,37.45,10,24,2,grocery,home_city,1,69,0,47.7,1,1,0
TXN0000089,2024-01-01 10:01:51,5.88,8,1,2,restaurant,domestic,1,104,0,27.3,1,1,0
TXN0000090,2024-01-01 10:10:53,8.34,16,22,1,grocery,home_city,1,8,0,106.8,1,1,0
TXN0000091,2024-01-01 10:20:01,40.33,12,23,1,pharmacy,online_only,1,59,0,132.9,1,1,0
TXN0000092,2024-01-01 10:20:27,51.44,9,28,1,online_retail,home_city,0,120,1,36.6,1,1,0
TXN0000093,2024-01-01 10:22:13,152.21,19,28,1,online_retail,home_city,1,19,0,57.6,1,1,0
TXN0000094,2024-01-01 10:24:04,135.44,0,5,3,travel,domestic,1,42,0,50.2,1,1,0
TXN0000095,2024-01-01 10:24:57,53.62,10,20,2,grocery,home_city,1,39,0,52.4,1,1,0
TXN0000096,2024-01-01 10:28:33,124.28,4,22,3,atm_withdrawal,home_city,1,44,0,118.7,1,1,0
TXN0000097,2024-01-01 10:39:33,43.36,9,24,2,online_retail,home_city,1,88,0,145.3,1,1,0
TXN0000098,2024-01-01 10:41:42,18.01,19,11,1,grocery,home_city,1,46,0,158.7,1,1,0
TXN0000099,2024-01-01 10:51:20,153.81,11,27,1,online_retail,international,1,26,0,131.4,1,0,0
TXN0000100,2024-01-01 10:56:05,5.25,14,28,2,travel,home_city,1,66,0,73.7,1,1,0
TXN0000101,2024-01-01 10:56:23,35.27,7,7,1,online_retail,home_city,1,69,0,155.4,1,1,0
TXN0000102,2024-01-01 10:58:52,18.02,16,26,1,online_retail,home_city,1,100,0,101.7,1,1,0
TXN0000103,2024-01-01 11:15:24,195.92,10,17,2,utilities,home_city,1,43,1,18.9,1,1,0
TXN0000104,2024-01-01 11:16:42,77.23,6,19,1,restaurant,domestic,1,117,0,139.2,1,1,0
TXN0000105,2024-01-01 11:18:04,7.01,13,28,2,grocery,home_city,0,102,0,146.8,1,1,0
TXN0000106,2024-01-01 11:36:18,110.94,13,5,1,online_retail,home_city,1,102,0,173.5,0,1,0
TXN0000107,2024-01-01 11:36:46,63.83,13,17,2,travel,online_only,1,11,0,96.2,1,1,0
TXN0000108,2024-01-01 11:36:56,22.35,9,18,1,grocery,home_city,1,91,0,35.4,1,1,0
TXN0000109,2024-01-01 11:37:54,29.71,3,4,3,luxury_goods,home_city,1,72,0,124.5,1,1,0
TXN0000110,2024-01-01 11:47:10,119.12,18,16,2,pharmacy,home_city,1,42,0,42.8,1,1,0
TXN0000111,2024-01-01 11:55:47,160.48,13,15,3,online_retail,home_city,1,73,0,67.5,1,1,0
TXN0000112,2024-01-01 12:00:00,40.95,14,24,1,grocery,home_city,0,33,0,91.4,1,1,0
TXN0000113,2024-01-01 12:02:46,108.61,0,2,1,grocery,home_city,0,75,0,56.2,1,1,0
TXN0000114,2024-01-01 12:03:15,23.19,17,22,2,travel,online_only,1,90,0,179.0,1,1,0
TXN0000115,2024-01-01 12:04:10,395.52,17,9,2,online_retail,online_only,1,40,0,9.8,1,1,0
TXN0000116,2024-01-01 12:04:56,598.57,20,29,1,grocery,home_city,1,9,0,10.7,1,1,0
TXN0000117,2024-01-01 12:06:35,12.56,17,24,5,travel,home_city,1,35,0,98.7,0,1,0
TXN0000118,2024-01-01 12:21:48,286.35,18,5,2,atm_withdrawal,online_only,1,37,0,155.1,1,1,0
TXN0000119,2024-01-01 12:23:42,264.48,7,24,1,restaurant,domestic,0,59,0,91.2,1,1,0
TXN0000120,2024-01-01 12:33:27,126.72,17,3,1,grocery,home_city,1,93,0,85.4,1,1,0
TXN0000121,2024-01-01 12:40:43,3.24,19,12,1,restaurant,home_city,1,6,0,92.0,0,1,0
TXN0000122,2024-01-01 12:51:28,226.38,19,30,2,atm_withdrawal,home_city,1,75,0,165.3,1,0,0
TXN0000123,2024-01-01 13:03:48,70.08,11,23,3,travel,domestic,1,48,0,51.2,1,1,0
TXN0000124,2024-01-01 13:06:33,90.23,14,21,1,grocery,home_city,1,63,0,75.7,1,1,0
TXN0000125,2024-01-01 13:07:44,43.8,20,24,1,grocery,home_city,1,54,0,121.4,1,1,0
TXN0000126,2024-01-01 13:10:18,36.14,11,14,5,atm_withdrawal,home_city,1,43,0,198.3,1,1,0
TXN0000127,2024-01-01 13:12:19,25.85,11,9,3,online_retail,home_city,1,11,1,162.4,1,1,0
TXN0000128,2024-01-01 13:14:57,59.73,9,22,2,pharmacy,home_city,1,85,0,65.0,1,1,0
TXN0000129,2024-01-01 13:36:28,40.29,13,20,2,grocery,home_city,1,102,0,111.8,1,1,0
TXN0000130,2024-01-01 13:43:35,242.79,7,7,1,atm_withdrawal,home_city,0,79,0,106.8,1,1,0
TXN0000131,2024-01-01 13:47:18,212.29,12,21,1,grocery,home_city,1,54,0,39.6,1,1,0
TXN0000132,2024-01-01 13:54:43,48.58,7,30,1,online_retail,home_city,1,13,0,77.7,1,1,0
TXN0000133,2024-01-01 14:03:34,28.92,18,7,2,restaurant,online_only,1,88,0,172.2,1,1,0
TXN0000134,2024-01-01 14:05:16,117.4,21,9,1,restaurant,online_only,1,65,0,96.6,1,1,0
TXN0000135,2024-01-01 14:14:05,297.86,3,15,1,online_retail,home_city,1,76,0,30.8,1,1,0
TXN0000136,2024-01-01 14:21:59,8.28,12,26,2,grocery,home_city,1,50,0,131.1,1,1,0
TXN0000137,2024-01-01 14:30:44,26.06,20,18,2,pharmacy,home_city,1,58,0,103.2,1,1,0
TXN0000138,2024-01-01 14:33:02,23.31,7,18,1,grocery,home_city,1,6,0,155.8,1,1,0
TXN0000139,2024-01-01 14:52:11,971.22,12,4,2,travel,home_city,1,24,0,109.2,1,1,0
TXN0000140,2024-01-01 14:59:48,98.48,4,22,1,restaurant,home_city,1,22,0,72.1,0,1,0
TXN0000141,2024-01-01 15:04:53,94.99,9,22,3,travel,domestic,1,41,0,113.9,1,1,0
TXN0000142,2024-01-01 15:13:48,52.68,12,25,2,grocery,home_city,1,30,0,30.8,1,1,0
TXN0000143,2024-01-01 15:19:09,36.23,14,5,2,atm_withdrawal,online_only,1,114,0,138.8,1,1,0
TXN0000144,2024-01-01 15:19:19,20.96,13,17,1,travel,domestic,1,9,0,160.9,1,1,0
TXN0000145,2024-01-01 15:25:59,116.38,8,2,1,grocery,online_only,1,42,0,73.7,1,1,0
TXN0000146,2024-01-01 15:54:51,257.35,6,28,1,online_retail,domestic,1,59,0,36.5,1,1,0
TXN0000147,2024-01-01 16:17:33,41.75,9,26,3,restaurant,domestic,1,58,0,8.0,1,1,0
TXN0000148,2024-01-01 16:19:27,31.23,6,5,1,pharmacy,domestic,1,48,0,125.3,1,1,0
TXN0000149,2024-01-01 16:24:42,2.18,14,1,1,atm_withdrawal,international,1,6,0,156.7,1,1,0
TXN0000150,2024-01-01 16:29:40,36.23,1,23,2,restaurant,domestic,1,98,0,154.3,1,1,0
TXN0000151,2024-01-01 16:29:41,26.24,11,21,1,grocery,home_city,1,117,0,67.8,1,1,0
TXN0000152,2024-01-01 16:34:43,30.32,17,16,2,grocery,domestic,1,51,0,177.2,1,1,0
TXN0000153,2024-01-01 16:35:41,53.86,12,24,2,online_retail,online_only,1,84,0,139.5,1,1,0
TXN0000154,2024-01-01 17:07:42,37.57,4,23,1,atm_withdrawal,home_city,1,8,1,7.0,1,1,0
TXN0000155,2024-01-01 17:10:30,586.12,10,1,19,travel,online_only,0,11,0,3740.0,0,0,1
TXN0000156,2024-01-01 17:26:06,115.55,10,11,3,online_retail,home_city,1,21,0,0.7,1,1,0
TXN0000157,2024-01-01 17:27:32,9.95,15,1,4,restaurant,home_city,1,22,0,155.3,1,1,0
TXN0000158,2024-01-01 17:27:42,60.67,11,9,1,pharmacy,home_city,1,19,0,192.1,1,1,0
TXN0000159,2024-01-01 17:28:15,24.04,17,18,1,restaurant,home_city,1,67,0,91.9,0,1,0
TXN0000160,2024-01-01 17:37:16,16.54,5,17,1,atm_withdrawal,home_city,1,65,0,32.0,1,1,0
TXN0000161,2024-01-01 18:06:55,76.91,4,26,1,pharmacy,online_only,1,82,0,126.6,1,1,0
TXN0000162,2024-01-01 18:20:41,34.41,12,21,2,grocery,domestic,1,74,0,0.2,1,1,0
TXN0000163,2024-01-01 18:22:20,90.23,11,29,1,online_retail,home_city,1,53,0,197.9,1,1,0
TXN0000164,2024-01-01 18:24:42,49.36,13,28,1,atm_withdrawal,home_city,1,109,0,13.9,1,1,0
TXN0000165,2024-01-01 18:25:33,189.52,12,7,1,grocery,domestic,1,22,0,198.2,1,1,0
TXN0000166,2024-01-01 18:30:34,34.47,13,23,5,crypto_exchange,home_city,1,90,0,12.3,1,1,0
TXN0000167,2024-01-01 18:31:48,99.73,9,15,2,luxury_goods,home_city,1,86,0,110.9,0,1,0
TXN0000168,2024-01-01 18:43:10,51.35,15,27,1,restaurant,international,1,102,0,13.5,1,1,0
TXN0000169,2024-01-01 18:48:12,34.95,15,26,4,luxury_goods,home_city,1,89,0,62.2,1,1,0
TXN0000170,2024-01-01 19:03:37,109.15,7,9,1,atm_withdrawal,international,1,77,1,11.6,0,1,0
TXN0000171,2024-01-01 19:08:35,76.88,11,23,1,travel,home_city,1,99,0,33.5,0,1,0
TXN0000172,2024-01-01 19:20:33,13.69,14,18,1,grocery,home_city,1,117,0,24.8,1,1,0
TXN0000173,2024-01-01 19:35:12,45.31,18,12,3,travel,home_city,1,43,0,31.7,1,1,0
TXN0000174,2024-01-01 19:47:19,174.44,13,25,1,restaurant,online_only,1,13,0,44.6,1,1,0
TXN0000175,2024-01-01 19:54:11,136.99,18,6,1,grocery,home_city,1,51,0,76.6,1,1,0
TXN0000176,2024-01-01 19:59:25,221.08,10,28,1,grocery,domestic,1,24,0,160.5,1,1,0
TXN0000177,2024-01-01 20:01:56,14.88,12,27,3,online_retail,home_city,1,91,0,110.5,1,1,0
TXN0000178,2024-01-01 20:28:20,67.95,8,0,1,travel,online_only,1,87,0,22.6,1,1,0
TXN0000179,2024-01-01 20:52:23,104.58,10,23,1,grocery,home_city,1,52,0,96.2,1,1,0
TXN0000180,2024-01-01 20:53:50,15.85,14,8,3,atm_withdrawal,home_city,1,17,0,192.6,1,0,0
TXN0000181,2024-01-01 20:57:29,67.48,11,26,1,online_retail,home_city,1,25,0,30.1,1,1,0
TXN0000182,2024-01-01 20:58:53,192.7,12,12,2,atm_withdrawal,home_city,0,107,0,20.4,1,0,0
TXN0000183,2024-01-01 21:02:52,26.13,10,21,1,luxury_goods,international,1,117,0,97.8,1,1,0
TXN0000184,2024-01-01 21:11:59,55.85,12,18,1,grocery,home_city,1,76,0,43.6,1,1,0
TXN0000185,2024-01-01 21:13:06,2.49,14,23,1,online_retail,international,1,20,0,152.7,1,1,0
TXN0000186,2024-01-01 21:15:50,14.7,9,26,2,luxury_goods,home_city,1,86,0,16.0,1,1,0
TXN0000187,2024-01-01 21:23:15,230.82,6,0,4,grocery,domestic,1,77,0,167.7,1,1,0
TXN0000188,2024-01-01 21:27:04,24.08,7,22,1,grocery,home_city,1,120,0,3.4,1,1,0
TXN0000189,2024-01-01 21:30:57,132.41,13,12,1,online_retail,home_city,1,120,1,37.0,1,1,0
TXN0000190,2024-01-01 21:31:23,268.26,9,26,2,entertainment,home_city,1,107,0,39.4,1,1,0
TXN0000191,2024-01-01 21:38:59,35.85,8,24,1,grocery,online_only,1,25,0,116.5,1,0,0
TXN0000192,2024-01-01 21:39:21,23.61,16,9,3,grocery,home_city,1,102,0,7.3,1,1,0
TXN0000193,2024-01-01 21:43:09,345.47,9,20,1,restaurant,home_city,1,78,0,48.1,1,1,0
TXN0000194,2024-01-01 22:14:17,56.17,10,27,1,grocery,international,1,67,0,85.8,1,1,0
TXN0000195,2024-01-01 22:25:31,105.57,14,18,1,travel,online_only,0,21,0,55.1,1,1,0
TXN0000196,2024-01-01 22:31:24,36.98,8,2,4,travel,online_only,1,13,0,128.0,1,1,0
TXN0000197,2024-01-01 22:38:47,103.07,13,14,1,grocery,domestic,1,108,0,193.7,1,1,0
TXN0000198,2024-01-01 22:47:03,232.06,8,20,1,online_retail,domestic,0,33,0,12.0,1,1,0
TXN0000199,2024-01-01 23:01:03,18.72,12,20,1,atm_withdrawal,home_city,1,39,0,116.6,1,1,0
TXN0000200,2024-01-01 23:07:54,125.73,10,15,1,online_retail,home_city,1,110,0,72.3,1,1,0
TXN0000201,2024-01-01 23:17:01,172.92,13,24,1,atm_withdrawal,home_city,1,7,0,34.9,1,1,0
TXN0000202,2024-01-01 23:18:55,18.54,15,26,1,crypto_exchange,home_city,1,111,0,142.4,1,1,0
TXN0000203,2024-01-01 23:20:38,58.36,7,19,4,restaurant,domestic,1,111,0,73.3,1,1,0
TXN0000204,2024-01-01 23:20:38,28.01,10,25,2,online_retail,home_city,1,59,0,191.6,1,1,0
TXN0000205,2024-01-01 23:33:47,6.42,13,13,1,grocery,online_only,1,14,0,134.5,1,0,0
TXN0000206,2024-01-01 23:41:45,49.26,9,27,1,grocery,online_only,1,86,0,126.5,1,1,0
TXN0000207,2024-01-01 23:57:53,125.03,14,22,1,restaurant,online_only,1,24,0,67.4,1,1,0
TXN0000208,2024-01-02 00:15:19,53.67,17,27,1,grocery,online_only,1,13,0,168.7,1,1,0
TXN0000209,2024-01-02 00:22:49,43.85,10,18,2,luxury_goods,home_city,1,52,0,152.6,1,1,0
TXN0000210,2024-01-02 00:29:01,95.47,12,9,1,grocery,home_city,1,46,0,163.7,1,1,0
TXN0000211,2024-01-02 00:30:31,64.26,9,17,1,online_retail,international,1,110,0,159.9,1,1,0
TXN0000212,2024-01-02 00:44:27,107.04,17,11,1,utilities,home_city,1,39,0,125.8,1,0,0
TXN0000213,2024-01-02 01:01:19,55.97,18,8,2,grocery,home_city,1,110,0,133.2,1,1,0
TXN0000214,2024-01-02 01:26:33,23.45,10,18,2,restaurant,home_city,0,114,0,6.7,1,1,0
TXN0000215,2024-01-02 02:05:06,104.39,11,29,1,entertainment,home_city,1,23,0,97.7,1,1,0
TXN0000216,2024-01-02 02:18:38,53.41,9,20,1,travel,domestic,0,66,0,182.5,1,1,0
TXN0000217,2024-01-02 02:36:59,182.09,8,20,1,online_retail,home_city,0,6,0,44.5,1,1,0
TXN0000218,2024-01-02 02:38:27,130.96,11,30,1,crypto_exchange,online_only,1,12,0,142.7,1,1,0
TXN0000219,2024-01-02 02:45:08,20.5,7,20,1,online_retail,online_only,1,42,0,139.9,1,1,0
TXN0000220,2024-01-02 02:54:47,355.96,13,1,4,grocery,international,1,109,0,153.2,1,1,0
TXN0000221,2024-01-02 03:16:57,54.55,10,19,1,restaurant,domestic,0,55,0,32.8,1,1,0
TXN0000222,2024-01-02 03:18:11,17.25,15,16,2,restaurant,online_only,1,15,0,159.7,1,1,0
TXN0000223,2024-01-02 03:18:48,31.43,13,28,5,grocery,domestic,1,36,0,2.8,1,1,0
TXN0000224,2024-01-02 03:35:26,49.19,8,8,2,grocery,home_city,1,83,0,120.5,1,1,0
TXN0000225,2024-01-02 03:44:46,171.43,11,0,4,travel,home_city,1,27,0,173.4,1,1,0
TXN0000226,2024-01-02 03:44:46,5.7,7,10,2,grocery,online_only,1,91,0,192.1,1,1,0
TXN0000227,2024-01-02 03:45:34,11.3,4,27,5,grocery,home_city,1,61,0,87.5,1,1,0
TXN0000228,2024-01-02 03:58:27,21.66,12,4,1,pharmacy,home_city,1,113,0,134.7,0,1,0
TXN0000229,2024-01-02 04:03:47,340.68,12,8,1,grocery,home_city,1,77,0,10.2,1,1,0
TXN0000230,2024-01-02 04:06:02,178.6,8,10,1,grocery,online_only,1,69,0,92.3,1,1,0
TXN0000231,2024-01-02 04:16:15,24.43,13,12,3,pharmacy,online_only,1,33,0,32.6,0,1,0
TXN0000232,2024-01-02 04:17:05,27.95,8,20,2,restaurant,online_only,1,76,0,78.8,1,1,0
TXN0000233,2024-01-02 04:31:38,163.79,14,22,1,grocery,home_city,0,91,0,77.2,1,1,0
TXN0000234,2024-01-02 04:35:27,77.81,13,9,2,utilities,online_only,1,12,0,17.8,1,1,0
TXN0000235,2024-01-02 04:39:51,46.34,7,10,1,travel,home_city,1,80,0,171.0,1,1,0
TXN0000236,2024-01-02 04:54:49,30.96,15,9,1,restaurant,home_city,0,108,0,180.1,1,0,0
TXN0000237,2024-01-02 05:00:06,35.66,14,19,3,grocery,domestic,1,78,0,46.1,1,1,0
TXN0000238,2024-01-02 05:01:28,44.85,7,19,2,online_retail,home_city,1,55,0,199.4,1,0,0
TXN0000239,2024-01-02 05:08:03,396.57,12,22,1,grocery,home_city,1,83,0,158.0,1,1,0
TXN0000240,2024-01-02 05:29:09,405.73,6,3,3,online_retail,home_city,1,80,0,196.7,0,1,0
TXN0000241,2024-01-02 05:44:39,162.99,9,27,1,grocery,home_city,1,18,0,47.4,1,1,0
TXN0000242,2024-01-02 05:44:43,55.72,20,4,1,grocery,domestic,1,51,0,37.5,1,1,0
TXN0000243,2024-01-02 05:52:12,821.1,14,6,2,online_retail,international,1,82,0,128.5,1,1,0
TXN0000244,2024-01-02 05:59:40,381.3,15,4,4,restaurant,home_city,1,78,0,107.3,1,1,0
TXN0000245,2024-01-02 06:02:40,65.45,13,5,2,online_retail,home_city,1,13,0,0.6,1,1,0
TXN0000246,2024-01-02 06:21:33,14.01,13,1,1,atm_withdrawal,international,1,71,0,142.4,1,1,0
TXN0000247,2024-01-02 06:29:01,338.47,12,16,1,travel,home_city,1,55,0,23.5,1,1,0
TXN0000248,2024-01-02 06:30:51,164.01,16,24,2,grocery,home_city,1,72,0,18.2,1,1,0
TXN0000249,2024-01-02 06:31:01,16.7,15,2,1,online_retail,home_city,0,11,0,138.3,1,1,0
TXN0000250,2024-01-02 06:46:36,173.62,18,30,1,grocery,home_city,1,107,0,50.9,1,1,0
TXN0000251,2024-01-02 06:48:40,1051.06,19,19,4,travel,home_city,1,81,0,42.2,1,1,0
